Date,Price_10g_hist,Price_10g_mcx,Gold_Price
2021-03-12,39848.76300094845,44737.0,44737.0
2021-03-15,40196.47306573215,44906.0,44906.0
2021-03-16,40442.5546964168,44820.0,44820.0
2021-03-17,40369.99051553684,44848.0,44848.0
2021-03-18,40321.86088382336,44942.0,44942.0
2021-03-19,40418.313051585836,45008.0,45008.0
2021-03-22,40393.36409085794,44885.0,44885.0
2021-03-23,40244.85990322632,44636.0,44636.0
2021-03-24,40396.16120372305,44841.0,44841.0
2021-03-25,40591.09103477101,44726.0,44726.0
2021-03-26,40431.97710868552,44629.0,44629.0
2021-03-29,39828.47589499574,43754.0,43754.0
2021-03-30,39763.20992814313,43941.0,43941.0
2021-03-31,39776.80968379764,44418.0,44418.0
2021-04-01,40611.98900445287,44957.0,44957.0
2021-04-02,40611.98900445287,,40611.98900445287
2021-04-05,40611.98900445287,44985.0,44985.0
2021-04-06,41227.4502869452,45685.0,45685.0
2021-04-07,41550.14708955584,46128.0,46128.0
2021-04-08,42093.01204044561,46576.0,46576.0
2021-04-09,41836.095616248975,46344.0,46344.0
2021-04-12,41795.03914350475,46188.0,46188.0
2021-04-13,42152.33012361953,46674.0,46674.0
2021-04-14,41854.67873390454,46317.0,46317.0
2021-04-15,42228.784541932575,46881.0,46881.0
2021-04-16,42542.35053932837,47022.0,47022.0
2021-04-19,42710.723873519055,47084.0,47084.0
2021-04-20,43104.023662931824,47498.0,47498.0
2021-04-21,43610.10818718151,47892.0,47892.0
2021-04-22,43178.38828427669,47426.0,47426.0
2021-04-23,42943.7201601106,47169.0,47169.0
2021-04-26,42598.646454579066,47117.0,47117.0
2021-04-27,42786.953236773996,46960.0,46960.0
2021-04-28,42438.150047422314,46697.0,46697.0
2021-04-29,41981.83484173806,46400.0,46400.0
2021-04-30,42054.01321394698,46431.0,46431.0
2021-05-03,42054.01321394698,46963.0,46963.0
2021-05-04,42645.52220811162,46782.0,46782.0
2021-05-05,42270.54833057373,46591.0,46591.0
2021-05-06,42899.60936872056,47536.0,47536.0
2021-05-07,43269.79278859293,47719.0,47719.0
2021-05-10,43440.60957770026,47925.0,47925.0
2021-05-11,43157.20095809153,47625.0,47625.0
2021-05-12,43343.8680534345,47491.0,47491.0
2021-05-13,43129.61563811147,47452.0,47452.0
2021-05-14,43308.37365569791,47682.0,47682.0
2021-05-17,43726.300898612695,48437.0,48437.0
2021-05-18,43840.59671741123,48288.0,48288.0
2021-05-19,44439.82188499686,48660.0,48660.0
2021-05-20,44107.897825003616,48519.0,48519.0
2021-05-21,43945.05441509798,48368.0,48368.0
2021-05-24,44062.179497484205,48514.0,48514.0
2021-05-25,44154.77357853617,48780.0,48780.0
2021-05-26,44449.46710177311,48728.0,48728.0
2021-05-27,44191.03959361487,48561.0,48561.0
2021-05-28,44243.57387432283,48543.0,48543.0
2021-05-31,44243.57387432283,48807.0,48807.0
2021-06-01,44488.33732538138,48935.0,48935.0
2021-06-02,44643.818219814486,49108.0,49108.0
2021-06-03,43840.08230584982,48293.0,48293.0
2021-06-04,44299.96624174128,48650.0,48650.0
2021-06-07,44206.95420129567,48911.0,48911.0
2021-06-08,44404.90620026685,48908.0,48908.0
2021-06-09,44459.691031555936,48904.0,48904.0
2021-06-10,44367.90071856865,48975.0,48975.0
2021-06-11,44303.11701255486,48717.0,48717.0
2021-06-14,43891.26625620911,48318.0,48318.0
2021-06-15,43988.90800070731,48230.0,48230.0
2021-06-16,43856.70422942756,48279.0,48279.0
2021-06-17,42503.86612439114,46781.0,46781.0
2021-06-18,42260.58160657161,46592.0,46592.0
2021-06-21,42330.187920973534,46904.0,46904.0
2021-06-22,42424.871798993685,46838.0,46838.0
2021-06-23,42728.5996752777,46921.0,46921.0
2021-06-24,42581.092160046304,46701.0,46701.0
2021-06-25,42598.067741572486,46757.0,46757.0
2021-06-28,42521.42041892392,46821.0,46821.0
2021-06-29,41901.71524105004,46438.0,46438.0
2021-06-30,42150.40108026428,46817.0,46817.0
2021-07-01,42706.57643030527,46985.0,46985.0
2021-07-02,42793.80134068513,47286.0,47286.0
2021-07-05,42786.56742810295,47567.0,47567.0
2021-07-06,43503.432089636204,47694.0,47694.0
2021-07-07,43402.76817721478,47887.0,47887.0
2021-07-08,43451.283617599314,47735.0,47735.0
2021-07-09,43280.43467776938,47898.0,47898.0
2021-07-12,42947.35319176297,47768.0,47768.0
2021-07-13,43481.151638883086,47887.0,47887.0
2021-07-14,43695.178999148004,48265.0,48265.0
2021-07-15,43711.41511405468,48358.0,48358.0
2021-07-16,43750.7032970566,48040.0,48040.0
2021-07-19,43759.834102271445,48069.0,48069.0
2021-07-20,43686.14464610092,47861.0,47861.0
2021-07-21,43194.01353545421,47584.0,47584.0
2021-07-22,43073.12681852524,47624.0,47624.0
2021-07-23,43075.827479222586,47521.0,47521.0
2021-07-26,43024.000514411564,47455.0,47455.0
2021-07-27,43129.261980163006,47551.0,47551.0
2021-07-28,43027.47279245101,47535.0,47535.0
2021-07-29,43674.763290304945,48210.0,48210.0
2021-07-30,43643.384185059556,47901.0,47901.0
2021-08-02,43291.10871766843,47937.0,47937.0
2021-08-03,43265.00233092738,47854.0,47854.0
2021-08-04,43630.87755397303,47872.0,47872.0
2021-08-05,42900.509588953006,47959.0,47959.0
2021-08-06,42058.41786294147,46682.0,46682.0
2021-08-09,41629.04496278554,45949.0,45949.0
2021-08-10,41240.50348031572,45936.0,45936.0
2021-08-11,41624.19020367482,46351.0,46351.0
2021-08-12,41731.47716494928,46335.0,46335.0
2021-08-13,42293.857604449666,46886.0,46886.0
2021-08-16,42591.8948028357,47138.0,47138.0
2021-08-17,42796.18049415661,47206.0,47206.0
2021-08-18,42594.434709920104,47069.0,47069.0
2021-08-19,42568.167569566125,47119.0,47119.0
2021-08-20,42492.774125098455,47110.0,47110.0
2021-08-23,42952.59375954475,47511.0,47511.0
2021-08-24,43106.145610622596,47532.0,47532.0
2021-08-25,42657.12861896572,47108.0,47108.0
2021-08-26,42583.8892729114,47163.0,47163.0
2021-08-27,42471.90830613917,47416.0,47416.0
2021-08-30,42471.90830613917,47049.0,47049.0
2021-08-31,42579.709678975036,47060.0,47060.0
2021-09-01,42491.26304113685,47093.0,47093.0
2021-09-02,42552.5423183886,47048.0,47048.0
2021-09-03,42799.36341569277,47342.0,47342.0
2021-09-06,42807.65830212033,47450.0,47450.0
2021-09-07,42541.61107270885,46989.0,46989.0
2021-09-08,42378.5747584677,47072.0,47072.0
2021-09-09,42283.63367466684,47021.0,47021.0
2021-09-10,42425.96492356166,46858.0,46858.0
2021-09-13,42455.28638256145,46946.0,46946.0
2021-09-14,42447.37730480493,47267.0,47267.0
2021-09-15,42472.00475830694,46949.0,46949.0
2021-09-16,41348.40130531934,46120.0,46120.0
2021-09-17,41579.59715144598,46025.0,46025.0
2021-09-20,41642.676869162635,46297.0,46297.0
2021-09-21,42064.333595897566,46641.0,46641.0
2021-09-22,42092.52977960679,46682.0,46682.0
2021-09-23,41531.11386178404,46083.0,46083.0
2021-09-24,41446.71821499188,45995.0,45995.0
2021-09-27,41678.71782918321,46064.0,46064.0
2021-09-28,41370.103043065894,45819.0,45819.0
2021-09-29,41533.589467423284,45550.0,45550.0
2021-09-30,41603.420836883306,46221.0,46221.0
2021-10-01,41900.46136286913,46315.0,46315.0
2021-10-04,42045.52542318389,46618.0,46618.0
2021-10-05,42008.93790087932,46459.0,46459.0
2021-10-06,42339.800987027185,46781.0,46781.0
2021-10-07,42392.36741845773,46737.0,46737.0
2021-10-08,42864.082820261385,46922.0,46922.0
2021-10-11,42601.540019611944,46941.0,46941.0
2021-10-12,42888.131560756825,47097.0,47097.0
2021-10-13,43245.26178725867,47753.0,47753.0
2021-10-14,43384.570868230265,47748.0,47748.0
2021-10-15,42758.24264150337,47106.0,47106.0
2021-10-18,42806.01861526839,47186.0,47186.0
2021-10-19,43058.56254119311,47196.0,47196.0
2021-10-20,42760.943302200714,47380.0,47380.0
2021-10-21,42806.11506743614,47314.0,47314.0
2021-10-22,43600.94523124408,47668.0,47668.0
2021-10-25,43548.346649090934,48030.0,48030.0
2021-10-26,43033.227771794176,47680.0,47680.0
2021-10-27,43268.73181474753,47804.0,47804.0
2021-10-28,43368.527657659106,47777.0,47777.0
2021-10-29,42647.06544279582,47502.0,47502.0
2021-11-01,43173.822881669264,47692.0,47692.0
2021-11-02,42949.282235118226,47683.0,47683.0
